Price        Adj Close       Close        High         Low        Open     Volume
Date                                                                             
2024-10-29  259.519989  259.519989  264.980011  255.509995  264.510010   80521800
2024-10-30  257.549988  257.549988  263.350006  255.820007  258.040009   53993600
2024-10-31  249.850006  249.850006  259.750000  249.250000  257.989990   66575300
2024-11-01  248.979996  248.979996  254.000000  246.630005  252.039993   57544800
2024-11-04  242.839996  242.839996  248.899994  238.880005  244.559998   68802400
2024-11-05  251.440002  251.440002  255.279999  246.210007  247.339996   69282500
2024-11-06  288.529999  288.529999  289.589996  275.619995  284.670013  165228700
2024-11-07  296.910004  296.910004  299.750000  285.519989  288.890015  117309200
2024-11-08  321.220001  321.220001  328.709991  297.660004  299.140015  204782800
2024-11-11  350.000000  350.000000  358.640015  336.000000  346.299988  210521600
2024-11-12  328.489990  328.489990  345.839996  323.309998  342.739990  155726000
2024-11-13  330.239990  330.239990  344.600006  322.500000  335.850006  125405600
2024-11-14  311.179993  311.179993  329.980011  310.369995  327.690002  120726100
2024-11-15  320.720001  320.720001  324.679993  309.220001  310.570007  114440300
2024-11-18  338.739990  338.739990  348.549988  330.010010  340.730011  126547500
2024-11-19  346.000000  346.000000  347.380005  332.750000  335.760010   88852500
2024-11-20  342.029999  342.029999  346.600006  334.299988  345.000000   66340700
2024-11-21  339.640015  339.640015  347.989990  335.279999  343.809998   58011700
2024-11-22  352.559998  352.559998  361.529999  337.700012  341.089996   89140700
2024-11-25  338.589996  338.589996  361.929993  338.200012  360.140015   95890900
2024-11-26  338.230011  338.230011  346.959991  335.660004  341.000000   62295900
2024-11-27  332.890015  332.890015  342.549988  326.589996  341.799988   57896400
2024-11-29  345.160004  345.160004  345.450012  334.649994  336.079987   37167600
2024-12-02  357.089996  357.089996  360.000000  351.149994  352.380005   77986500
2024-12-03  351.420013  351.420013  355.690002  348.200012  351.799988   58267200
2024-12-04  357.929993  357.929993  358.100006  348.600006  353.000000   50810900
2024-12-05  369.489990  369.489990  375.429993  359.500000  359.869995   81403600
2024-12-06  389.220001  389.220001  389.489990  370.799988  377.420013   81455800
2024-12-09  389.790009  389.790009  404.799988  378.010010  397.609985   96359200
2024-12-10  400.989990  400.989990  409.730011  390.850006  392.679993   97563600
2024-12-11  424.769989  424.769989  424.880005  402.380005  409.700012  104287600
2024-12-12  418.100006  418.100006  429.299988  415.000000  424.839996   87752200
2024-12-13  436.230011  436.230011  436.299988  415.709991  420.000000   89000200
2024-12-16  463.019989  463.019989  463.190002  436.149994  441.089996  114083800
2024-12-17  479.859985  479.859985  483.989990  457.510010  475.899994  131223000
2024-12-18  440.130005  440.130005  488.540009  427.010010  466.500000  149340800
2024-12-19  436.170013  436.170013  456.359985  420.019989  451.880005  118566100
2024-12-20  421.059998  421.059998  447.079987  417.640015  425.510010  132216200
2024-12-23  430.600006  430.600006  434.510010  415.410004  431.000000   72698100
2024-12-24  462.279999  462.279999  462.779999  435.140015  435.899994   59551800
2024-12-26  454.130005  454.130005  465.329987  451.019989  465.160004   76366400
2024-12-27  431.660004  431.660004  450.000000  426.500000  449.519989   82666800
2024-12-30  417.410004  417.410004  427.000000  415.750000  419.399994   64941000
2024-12-31  403.839996  403.839996  427.929993  402.540009  423.790009   76825100
2025-01-02  379.279999  379.279999  392.730011  373.040009  390.100006  109710700
2025-01-03  410.440002  410.440002  411.880005  379.450012  381.480011   95423300
2025-01-06  411.049988  411.049988  426.429993  401.700012  423.200012   85516500
2025-01-07  394.359985  394.359985  414.329987  390.000000  405.829987   75699500
2025-01-08  394.940002  394.940002  402.500000  387.399994  392.950012   73038800
2025-01-10  394.739990  394.739990  399.279999  377.290009  391.399994   62287300
2025-01-13  403.309998  403.309998  403.790009  380.070007  383.209991   67580500
2025-01-14  396.359985  396.359985  422.640015  394.540009  414.339996   84565000
2025-01-15  428.220001  428.220001  429.799988  405.660004  409.899994   81375500
2025-01-16  413.820007  413.820007  424.000000  409.130005  423.489990   68335200
2025-01-17  426.500000  426.500000  439.739990  419.750000  421.500000   94991400
2025-01-21  424.070007  424.070007  433.200012  406.309998  432.640015   87320900
2025-01-22  415.109985  415.109985  428.000000  414.589996  416.809998   60963300
2025-01-23  412.380005  412.380005  420.730011  408.950012  416.059998   50690600
2025-01-24  406.579987  406.579987  418.880005  405.779999  414.450012   56427100
2025-01-27  397.149994  397.149994  406.690002  389.000000  394.799988   58125500
2025-01-28  398.089996  398.089996  400.589996  386.500000  396.910004   48910700
2025-01-29  389.100006  389.100006  398.589996  384.480011  395.209991   68033600
2025-01-30  400.279999  400.279999  412.500000  384.410004  410.779999   98092900
2025-01-31  404.600006  404.600006  419.989990  401.339996  401.529999   83568200
2025-02-03  383.679993  383.679993  389.170013  374.359985  386.679993   93732100
2025-02-04  392.209991  392.209991  394.000000  381.399994  382.630005   57072200
2025-02-05  378.170013  378.170013  388.390015  375.529999  387.510010   57223300
2025-02-06  374.320007  374.320007  375.399994  363.179993  373.029999   77918200
2025-02-07  361.619995  361.619995  380.549988  360.339996  370.190002   70298300
2025-02-10  350.730011  350.730011  362.700012  350.510010  356.209991   77514900
2025-02-11  328.500000  328.500000  349.369995  325.100006  345.799988  118543400
2025-02-12  336.510010  336.510010  346.399994  329.119995  329.940002  105382700
2025-02-13  355.940002  355.940002  358.690002  342.850006  345.000000   89441500
2025-02-14  355.839996  355.839996  362.000000  347.500000  360.619995   68277300
2025-02-18  354.109985  354.109985  359.100006  350.019989  355.010010   51631700
2025-02-19  360.559998  360.559998  367.339996  353.670013  354.000000   67094400
2025-02-20  354.399994  354.399994  362.299988  348.000000  361.510010   45965400
2025-02-21  337.799988  337.799988  354.980011  334.420013  353.440002   74058600
2025-02-24  330.529999  330.529999  342.399994  324.700012  338.140015   76052300
2025-02-25  302.799988  302.799988  328.890015  297.250000  327.019989  134228800
2025-02-26  290.799988  290.799988  309.000000  288.040009  303.709991  100118300
2025-02-27  281.950012  281.950012  297.230011  280.880005  291.160004  101748200
2025-02-28  292.980011  292.980011  293.880005  273.600006  279.500000  115697000
2025-03-03  284.649994  284.649994  303.940002  277.299988  300.339996  115551400
2025-03-04  272.040009  272.040009  284.350006  261.839996  270.929993  126706600
2025-03-05  279.100006  279.100006  279.549988  267.709991  272.920013   94042900
2025-03-06  263.450012  263.450012  272.649994  260.019989  272.059998   98451600
2025-03-07  262.670013  262.670013  266.250000  250.729996  259.320007  102369600
2025-03-10  222.149994  222.149994  253.369995  220.000000  252.539993  189076900
2025-03-11  230.580002  230.580002  237.059998  217.020004  225.309998  174896400
2025-03-12  248.089996  248.089996  251.839996  241.100006  247.220001  142215700
2025-03-13  240.679993  240.679993  248.289993  232.600006  248.130005  114813500
2025-03-14  249.979996  249.979996  251.580002  240.729996  247.309998  100242300
2025-03-17  238.009995  238.009995  245.399994  232.800003  245.059998  111900600
2025-03-18  225.309998  225.309998  230.100006  222.279999  228.160004  111477600
2025-03-19  235.860001  235.860001  241.410004  229.199997  231.610001  111993800
2025-03-20  236.259995  236.259995  238.000000  230.050003  233.350006   99028300
2025-03-21  248.710007  248.710007  249.520004  234.550003  234.990005  132728700
2025-03-24  278.390015  278.390015  278.640015  256.329987  258.079987  169079900
2025-03-25  288.140015  288.140015  288.200012  271.279999  283.600006  150361500
2025-03-26  272.059998  272.059998  284.899994  266.510010  282.660004  153629800
2025-03-27  273.130005  273.130005  291.850006  271.820007  272.480011  162572100
2025-03-28  263.549988  263.549988  276.100006  260.570007  275.579987  123809400
2025-03-31  259.160004  259.160004  260.559998  243.360001  249.309998  134008900
2025-04-01  268.459991  268.459991  277.450012  259.250000  263.799988  146486900
2025-04-02  282.760010  282.760010  284.989990  251.270004  254.600006  212787800
2025-04-03  267.279999  267.279999  276.299988  261.510010  265.290009  136174300
2025-04-04  239.429993  239.429993  261.000000  236.000000  255.380005  181229400
2025-04-07  233.289993  233.289993  252.000000  214.250000  223.779999  183453800
2025-04-08  221.860001  221.860001  250.440002  217.800003  245.000000  171603500
2025-04-09  272.200012  272.200012  274.690002  223.880005  224.690002  219433400
2025-04-10  252.399994  252.399994  262.489990  239.330002  260.000000  181722600
2025-04-11  252.309998  252.309998  257.739990  241.360001  251.839996  128948100
2025-04-14  252.350006  252.350006  261.799988  245.929993  258.359985  100135200
2025-04-15  254.110001  254.110001  258.750000  247.539993  249.910004   79594300
2025-04-16  241.550003  241.550003  251.970001  233.889999  247.610001  112378700
2025-04-17  241.369995  241.369995  244.339996  237.679993  243.470001   83404800
2025-04-21  227.500000  227.500000  232.210007  222.789993  230.259995   97768000
2025-04-22  237.970001  237.970001  242.789993  229.850006  230.960007  120858500
2025-04-23  250.740005  250.740005  259.450012  244.429993  254.860001  150381900
2025-04-24  259.510010  259.510010  259.540009  249.199997  250.500000   94464200
2025-04-25  284.950012  284.950012  286.850006  259.630005  261.690002  167560700
2025-04-28  285.880005  285.880005  294.859985  272.420013  288.980011  151731800
2025-04-29  292.029999  292.029999  293.320007  279.470001  285.500000  108906600
2025-04-30  282.160004  282.160004  284.450012  270.779999  279.899994  128961100
2025-05-01  280.519989  280.519989  290.869995  279.809998  280.010010   99659000
2025-05-02  287.209991  287.209991  294.779999  279.809998  284.899994  114454700
2025-05-05  280.260010  280.260010  284.850006  274.399994  284.570007   94618900
2025-05-06  275.350006  275.350006  277.730011  271.350006  273.109985   76715800
2025-05-07  276.220001  276.220001  277.920013  271.000000  276.880005   71592600
2025-05-08  284.820007  284.820007  289.799988  279.410004  279.630005   97539400
2025-05-09  298.260010  298.260010  307.040009  290.000000  290.209991  132387800
