Price        Adj Close       Close        High         Low        Open     Volume
Date                                                                             
2024-09-27  226.992081  227.789993  229.520004  227.300003  228.460007   34026000
2024-09-30  232.183838  233.000000  233.000000  229.649994  230.039993   54541900
2024-10-01  225.417633  226.210007  229.649994  223.740005  229.520004   63285000
2024-10-02  225.985626  226.779999  227.369995  223.020004  225.889999   32880600
2024-10-03  224.879517  225.669998  226.809998  223.320007  225.139999   34044200
2024-10-04  226.005569  226.800003  228.000000  224.130005  227.899994   37245100
2024-10-07  220.913483  221.690002  225.690002  221.330002  224.500000   39505400
2024-10-08  224.979172  225.770004  225.979996  223.250000  224.300003   31855700
2024-10-09  228.735977  229.539993  229.750000  224.830002  225.229996   33591100
2024-10-10  228.237701  229.039993  229.500000  227.169998  227.779999   28183500
2024-10-11  226.752945  227.550003  229.410004  227.339996  229.300003   31759200
2024-10-14  230.489807  231.300003  231.729996  228.600006  228.699997   39882100
2024-10-15  233.030869  233.850006  237.490005  232.369995  233.610001   64751400
2024-10-16  230.968124  231.779999  232.119995  229.839996  231.600006   34082200
2024-10-17  231.336823  232.149994  233.850006  230.520004  233.429993   32993800
2024-10-18  234.176849  235.000000  236.179993  234.009995  236.179993   46431500
2024-10-21  235.651657  236.479996  236.850006  234.449997  234.449997   36254500
2024-10-22  235.033829  235.860001  236.220001  232.600006  233.889999   38846600
2024-10-23  229.951691  230.759995  235.139999  227.759995  234.080002   52287000
2024-10-24  229.762360  230.570007  230.820007  228.410004  229.979996   31109500
2024-10-25  230.599411  231.410004  233.220001  229.570007  229.740005   38802300
2024-10-28  232.582443  233.399994  234.729996  232.550003  233.320007   36087100
2024-10-29  232.851501  233.669998  234.330002  232.320007  233.100006   35417200
2024-10-30  229.294006  230.100006  233.470001  229.550003  232.610001   47070900
2024-10-31  225.118683  225.910004  229.830002  225.369995  229.339996   64370100
2024-11-01  222.129196  222.910004  225.350006  220.270004  220.970001   65276700
2024-11-04  221.232330  222.009995  222.789993  219.710007  220.990005   44944500
2024-11-05  222.667297  223.449997  223.949997  221.139999  221.800003   28111300
2024-11-06  221.939850  222.720001  226.070007  221.190002  222.610001   54561100
2024-11-07  226.683182  227.479996  227.880005  224.570007  224.630005   42137700
2024-11-08  226.413834  226.960007  228.660004  226.410004  227.169998   38328800
2024-11-11  223.690399  224.229996  225.699997  221.500000  225.000000   42005600
2024-11-12  223.690399  224.229996  225.589996  223.360001  224.550003   40398300
2024-11-13  224.578262  225.119995  226.649994  222.759995  224.009995   48566200
2024-11-14  227.670807  228.220001  228.869995  225.000000  225.020004   44923900
2024-11-15  224.458542  225.000000  226.919998  224.270004  226.399994   47923700
2024-11-18  227.471283  228.020004  229.740005  225.169998  225.250000   44686000
2024-11-19  227.730652  228.279999  230.160004  226.660004  226.979996   36211800
2024-11-20  228.448914  229.000000  229.929993  225.889999  228.059998   35169600
2024-11-21  227.970078  228.520004  230.160004  225.710007  228.880005   42108300
2024-11-22  229.316818  229.869995  230.720001  228.059998  228.059998   38168300
2024-11-25  232.309601  232.869995  233.250000  229.740005  231.460007   90152800
2024-11-26  234.494324  235.059998  235.570007  233.330002  233.330002   45986200
2024-11-27  234.364655  234.929993  235.690002  233.809998  234.470001   33498400
